CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A030,23 ST,00:00:00,130660828.66285715,20436562.954285715,203.81714285714287,32.42857142857143,236.24571428571429
N077,23 ST,00:00:00,13683387.068965517,25700820.74137931,97.59770114942529,57.741379310344826,155.33908045977012
N508,23 ST,00:00:00,1354398781.2690058,1417674422.0292397,106.46783625730994,46.26315789473684,152.73099415204678
N509,23 ST,00:00:00,23019511.708074532,16424817.708074534,160.82608695652175,47.78260869565217,208.6086956521739
N075,23 ST,00:00:00,150062482.33139536,1007332.8837209302,65.23255813953489,13.337209302325581,78.56976744186046
R131,23 ST,00:00:00,21114787.137931034,8335714.0344827585,194.31034482758622,30.310344827586206,224.6206896551724
R132,23 ST,00:00:00,20610499.766666666,40824370.266666666,35.733333333333334,55.166666666666664,90.9
A031,23 ST,00:00:00,20682348.919075146,16810144.994219653,151.0635838150289,37.2485549132948,188.3121387283237
R226A,23 ST,00:00:00,36499014.551724136,21237614.413793102,13.379310344827585,12.137931034482758,25.517241379310345
R227,23 ST,00:00:00,39423162.5,20805307.166666668,134.53333333333333,22.366666666666667,156.9
R226,23 ST,00:00:00,1994236717.0666666,1674921544.7333333,70.1,44.03333333333333,114.13333333333334
N076,23 ST,00:00:00,32245220.298245613,17277274.92982456,237.35087719298247,66.6608187134503,304.01169590643275
R227A,23 ST,00:00:00,15171199.966666667,8647306.8,77.56666666666666,20.766666666666666,98.33333333333333
R227A,23 ST,01:00:00,15049587.11627907,8505399.59883721,35.16279069767442,15.790697674418604,50.95348837209303
R227,23 ST,01:00:00,39111985.13872832,20581380.05202312,61.79190751445087,23.84971098265896,85.64161849710983
R132,23 ST,01:00:00,20618385.12716763,40519844.456647396,25.716763005780347,58.959537572254334,84.67630057803468
R226,23 ST,01:00:00,1928019155.7559524,1619204474.107143,28.714285714285715,62.291666666666664,91.00595238095238
R131,23 ST,01:00:00,18669833.18235294,7450431.752941176,88.18235294117648,23.958823529411763,112.14117647058823
R226A,23 ST,01:00:00,36153334.16875,21140931.0375,8.73125,18.65,27.38125
A030,23 ST,03:00:00,129905942.76666667,20109227.7,101.0,264.7,365.7
N076,23 ST,03:00:00,32085810.666666668,17186308.833333332,243.2,339.43333333333334,582.6333333333333
