CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A030,23 ST,00:00:00,130585244.671875,20399945.96875,389.0625,71.875,460.9375
R131,23 ST,00:00:00,21120013.23529412,8337144.764705882,328.1764705882353,63.64705882352941,391.8235294117647
N508,23 ST,00:00:00,1288337036.4629629,1346286097.0,220.57407407407408,93.18518518518519,313.75925925925924
R132,23 ST,00:00:00,19944177.23529412,39732627.52941176,83.05882352941177,109.0,192.05882352941177
N077,23 ST,00:00:00,14069968.203125,26643448.3125,224.84375,131.765625,356.609375
R226,23 ST,00:00:00,1929195056.7333333,1629132650.4666667,108.86666666666666,65.26666666666667,174.13333333333333
N076,23 ST,00:00:00,32246069.285714287,17288153.523809522,463.984126984127,151.84126984126985,615.8253968253969
R226A,23 ST,00:00:00,36315723.0,21030936.6875,24.3125,20.8125,45.125
N075,23 ST,00:00:00,157243775.42857143,1006763.4603174604,114.46031746031746,31.73015873015873,146.1904761904762
R227,23 ST,00:00:00,39426279.44444445,20806815.333333332,193.44444444444446,55.5,248.94444444444446
A031,23 ST,00:00:00,20064254.984375,16342365.578125,274.421875,66.265625,340.6875
N509,23 ST,00:00:00,21642017.48,15509867.12,253.12,116.54,369.66
R227A,23 ST,00:00:00,15559206.777777778,9004819.666666666,119.88888888888889,54.77777777777778,174.66666666666666
R226A,23 ST,01:00:00,36619966.296875,21406466.890625,16.453125,17.078125,33.53125
R226,23 ST,01:00:00,2064976135.625,1732757357.359375,63.4375,55.171875,118.609375
R131,23 ST,01:00:00,19775295.81967213,7888589.836065574,230.44262295081967,43.459016393442624,273.9016393442623
R227A,23 ST,01:00:00,15157907.4375,8689487.984375,63.6875,26.59375,90.28125
R227,23 ST,01:00:00,39784805.50819672,20959940.901639346,116.29508196721312,29.80327868852459,146.0983606557377
R132,23 ST,01:00:00,20282039.328125,39877486.65625,50.84375,69.09375,119.9375
N508,23 ST,03:00:00,1851666467.0666666,1969841041.7333333,39.2,133.13333333333333,172.33333333333334
A030,23 ST,03:00:00,129890616.33333333,20102295.4,81.33333333333333,104.33333333333333,185.66666666666666
N077,23 ST,03:00:00,13927246.333333334,26509639.6,48.93333333333333,111.8,160.73333333333332
N076,23 ST,03:00:00,32072389.333333332,17178811.266666666,148.6,112.4,261.0
N075,23 ST,03:00:00,154897799.86666667,1128302.5333333334,49.46666666666667,24.266666666666666,73.73333333333333
A031,23 ST,03:00:00,20493113.466666665,16704978.2,68.06666666666666,106.53333333333333,174.6
N509,23 ST,03:00:00,21253736.57142857,15156495.857142856,81.21428571428571,79.57142857142857,160.78571428571428
R132,23 ST,04:00:00,19801743.266666666,39505183.13333333,36.46666666666667,215.73333333333332,252.2
R226A,23 ST,04:00:00,36326512.21428572,21055384.785714287,11.928571428571429,58.785714285714285,70.71428571428571
N077,23 ST,04:00:00,14033298.681818182,26418339.242424242,66.37878787878788,218.84848484848484,285.22727272727275
N076,23 ST,04:00:00,32221884.52238806,17283910.358208954,176.91044776119404,172.92537313432837,349.8358208955224
N075,23 ST,04:00:00,157139026.8939394,1012725.1666666666,68.5,40.81818181818182,109.31818181818181
R131,23 ST,04:00:00,20503505.4,8114916.733333333,112.2,58.86666666666667,171.06666666666666
R227A,23 ST,04:00:00,15551838.933333334,9000177.8,54.666666666666664,63.93333333333333,118.6
A030,23 ST,04:00:00,130559955.02985075,20389090.67164179,128.3582089552239,201.6417910447761,330.0
R227,23 ST,04:00:00,39413380.6,20801128.133333333,113.86666666666666,126.6,240.46666666666667
N508,23 ST,04:00:00,2725488833.8305087,2876095882.762712,47.186440677966104,290.0,337.1864406779661
N509,23 ST,04:00:00,21305018.46153846,15279981.25,96.3076923076923,138.44230769230768,234.75
A031,23 ST,04:00:00,20223240.303030305,16427681.696969697,85.86363636363636,175.25757575757575,261.1212121212121
R226,23 ST,04:00:00,1905372263.0769231,1600919871.7692308,54.07692307692308,302.7692307692308,356.84615384615387
R132,23 ST,05:00:00,20552823.10769231,40497556.646153845,79.8923076923077,392.5692307692308,472.46153846153845
R131,23 ST,05:00:00,19893291.476190478,7930797.857142857,219.52380952380952,131.9206349206349,351.44444444444446
R226,23 ST,05:00:00,2064933816.8939395,1732797485.1515152,112.39393939393939,566.4848484848485,678.8787878787879
R227A,23 ST,05:00:00,15644415.0,9033664.969696969,78.5,88.43939393939394,166.93939393939394
R227,23 ST,05:00:00,39771148.359375,20954140.09375,174.390625,155.0,329.390625
