CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,00:00:00,766148252.2333333,925052572.9666667,156.96666666666667,64.56666666666666,221.53333333333333
A046,CANAL ST,00:00:00,2173000151.266667,666128160.3333334,195.5,123.2,318.7
N090,CANAL ST,00:00:00,14177746.281609196,20365003.344827585,83.62068965517241,28.902298850574713,112.52298850574712
R119,CANAL ST,00:00:00,16450155.793103449,5664475.655172414,61.13793103448276,15.586206896551724,76.72413793103448
R120,CANAL ST,00:00:00,2550264.962962963,11331321.222222222,9.703703703703704,20.51851851851852,30.22222222222222
N089,CANAL ST,00:00:00,939830219.1942858,575291772.2457143,212.85142857142858,71.02285714285715,283.8742857142857
A066,CANAL ST,00:00:00,240416238.3,1360929490.3,93.03333333333333,29.166666666666668,122.2
R120,CANAL ST,01:00:00,2536152.7647058824,11166430.411764706,6.264705882352941,19.870588235294118,26.13529411764706
A046,CANAL ST,01:00:00,2145102238.8857143,657743050.1314286,119.01714285714286,95.12,214.13714285714286
A043,CANAL ST,01:00:00,767247514.0057471,925918409.1034483,85.35632183908046,54.17816091954023,139.5344827586207
R119,CANAL ST,01:00:00,16398732.211428571,5631387.057142857,28.85142857142857,12.914285714285715,41.76571428571429
A066,CANAL ST,01:00:00,409946433.0755814,1635827162.0581396,49.075581395348834,26.651162790697676,75.72674418604652
N089,CANAL ST,03:00:00,939457240.1666666,574974703.7,137.4,525.6666666666666,663.0666666666667
N090,CANAL ST,03:00:00,14526331.166666666,21101326.866666667,57.266666666666666,450.76666666666665,508.03333333333336
A066,CANAL ST,04:00:00,1391210983.7333333,2535755470.0,116.23333333333333,299.1,415.3333333333333
A046,CANAL ST,04:00:00,2173833470.133333,666427758.8666667,673.1333333333333,1332.2333333333333,2005.3666666666666
N089,CANAL ST,04:00:00,939956703.5314286,575385633.8457143,339.18857142857144,1136.6171428571429,1475.8057142857142
A043,CANAL ST,04:00:00,768478013.4333333,926508831.8,232.96666666666667,1057.5333333333333,1290.5
R120,CANAL ST,04:00:00,2601935.4,11492694.2,36.8,392.8,429.6
R119,CANAL ST,04:00:00,16777513.766666666,5788170.6,125.73333333333333,122.76666666666667,248.5
N090,CANAL ST,04:00:00,14861288.6,21655031.72,176.32,990.8114285714286,1167.1314285714286
A046,CANAL ST,05:00:00,2168697473.542857,664700796.8171428,1223.7942857142857,2659.302857142857,3883.097142857143
A043,CANAL ST,05:00:00,769111559.3771429,927098014.9485714,540.7542857142857,2660.92,3201.674285714286
A066,CANAL ST,05:00:00,1387276645.1411765,2638182944.5176473,272.22352941176473,623.5411764705882,895.7647058823529
R120,CANAL ST,05:00:00,2656092.695402299,11690966.609195402,78.77586206896552,940.764367816092,1019.5402298850574
R119,CANAL ST,05:00:00,17017984.817142855,5862095.92,256.1542857142857,317.53714285714284,573.6914285714286
A066,CANAL ST,05:00:01,1051576339.5,1905885992.5,330.5,722.0,1052.5
A066,CANAL ST,06:34:07,33427067.0,16945558.0,179.0,307.0,486.0
N090,CANAL ST,06:39:47,13165731.0,21089010.0,76.0,466.0,542.0
A046,CANAL ST,06:45:25,2166642825.0,658837842.0,1276.0,2398.0,3674.0
N089,CANAL ST,07:00:00,939457377.5666667,574975229.3666667,1161.4666666666667,4627.4,5788.866666666667
N090,CANAL ST,07:00:00,14856256.033333333,22324656.8,745.1,3352.5666666666666,4097.666666666667
A066,CANAL ST,07:17:46,2071253393.0,3795848309.0,180.0,398.0,578.0
A066,CANAL ST,07:20:26,2063662826.0,3791753116.0,0.0,2.0,2.0
A046,CANAL ST,07:20:48,2118880200.0,653388121.0,1014.0,1791.0,2805.0
A066,CANAL ST,07:21:29,2068916989.0,3793803125.0,17.0,61.0,78.0
N089,CANAL ST,07:21:43,939021453.0,574076089.0,160.0,479.0,639.0
A046,CANAL ST,07:27:21,2169134341.0,665875528.0,276.0,507.0,783.0
A046,CANAL ST,07:33:09,2113163890.0,650081843.0,186.0,328.0,514.0
A046,CANAL ST,07:38:29,2175889638.0,669233682.0,163.0,321.0,484.0
A046,CANAL ST,07:39:45,2109699984.0,649717095.0,27.0,39.0,66.0
A043,CANAL ST,07:39:56,767679523.0,925886665.0,427.0,2164.0,2591.0
A046,CANAL ST,07:42:48,2109700011.0,649717134.0,38.0,46.0,84.0
A046,CANAL ST,07:43:38,2173639105.0,664623710.0,887.0,1952.0,2839.0
A046,CANAL ST,07:46:32,2096965896.0,647508778.0,8.0,19.0,27.0
R119,CANAL ST,07:47:42,18434995.0,6283843.0,203.0,278.0,481.0
A046,CANAL ST,07:48:08,2113124705.0,650050925.0,695.0,1242.0,1937.0
A066,CANAL ST,07:51:09,2068917006.0,3793803186.0,19.0,43.0,62.0
A046,CANAL ST,07:52:31,2113256815.0,650157465.0,870.0,1800.0,2670.0
A046,CANAL ST,07:55:27,2113164076.0,650082171.0,498.0,802.0,1300.0
R119,CANAL ST,07:57:02,15407796.0,5375666.0,134.0,249.0,383.0
A046,CANAL ST,08:00:00,2173872329.827586,666517078.1034483,2860.9655172413795,5707.931034482759,8568.896551724138
A066,CANAL ST,08:00:00,470575542.0,1595894907.3333333,1046.0333333333333,1243.5,2289.5333333333333
R120,CANAL ST,08:00:00,2601972.2,11493087.0,164.53333333333333,1780.7666666666667,1945.3
A043,CANAL ST,08:00:00,768478246.4,926509889.3333334,1485.5,5547.433333333333,7032.933333333333
R119,CANAL ST,08:00:00,16777639.5,5788293.366666666,582.8,676.6666666666666,1259.4666666666667
N089,CANAL ST,08:00:00,939957150.6057143,575386837.4571428,1337.2742857142857,4348.874285714286,5686.148571428572
N090,CANAL ST,08:00:00,15090815.165714286,22561218.508571427,796.8457142857143,3016.6457142857143,3813.4914285714285
A066,CANAL ST,08:02:12,33427246.0,16945865.0,5.0,13.0,18.0
A066,CANAL ST,08:03:30,2068917025.0,3793803229.0,120.0,472.0,592.0
A066,CANAL ST,08:03:32,33427251.0,16945878.0,8.0,2.0,10.0
A066,CANAL ST,08:04:52,33427259.0,16945880.0,1975.0,1792.0,3767.0
A043,CANAL ST,08:12:07,766801368.0,924682537.0,255.0,1114.0,1369.0
A046,CANAL ST,08:15:10,2113236860.0,650142266.0,624.0,1335.0,1959.0
A046,CANAL ST,08:16:44,2166974106.0,659122648.0,617.0,1376.0,1993.0
A066,CANAL ST,08:18:06,32699550.0,16735082.0,191.0,335.0,526.0
A046,CANAL ST,08:19:04,2174283427.0,665170445.0,549.0,1299.0,1848.0
A066,CANAL ST,08:32:12,2068913606.0,3793799712.0,73.0,299.0,372.0
A066,CANAL ST,08:33:03,33414891.0,16942359.0,12176.0,3199.0,15375.0
A046,CANAL ST,08:35:20,2113164574.0,650082973.0,317.0,904.0,1221.0
A066,CANAL ST,08:36:47,2069971458.0,3794847854.0,36.0,145.0,181.0
A046,CANAL ST,08:37:51,2113298153.0,650189793.0,289.0,788.0,1077.0
A046,CANAL ST,08:38:20,2179977733.0,669797473.0,136.0,544.0,680.0
N089,CANAL ST,08:43:54,940458254.0,575750366.0,917.0,3373.0,4290.0
A046,CANAL ST,08:46:18,2113125400.0,650052167.0,182.0,532.0,714.0
A043,CANAL ST,08:46:39,768078218.0,926252840.0,92.0,720.0,812.0
A046,CANAL ST,08:49:01,2179701368.0,669587608.0,788.0,2313.0,3101.0
A043,CANAL ST,08:49:09,767713975.0,925918506.0,73.0,527.0,600.0
N090,CANAL ST,08:50:51,13525256.0,22549877.0,637.0,2309.0,2946.0
N089,CANAL ST,08:52:16,938753124.0,573867395.0,1161.0,3302.0,4463.0
A043,CANAL ST,08:58:27,764322379.0,926943226.0,13.0,123.0,136.0
A066,CANAL ST,09:00:00,319642779.122093,1543611062.2441862,1264.9709302325582,956.1337209302326,2221.1046511627906
R119,CANAL ST,09:00:00,17018242.897142857,5862416.468571428,662.8914285714286,538.04,1200.9314285714286
R120,CANAL ST,09:00:00,2646039.896551724,11648816.534482758,178.4655172413793,1423.6264367816093,1602.0919540229886
A046,CANAL ST,09:00:00,2157282115.2285714,661326814.1542857,3190.022857142857,5340.594285714285,8530.617142857143
A043,CANAL ST,09:00:00,767011567.64,924509064.6171429,1881.097142857143,4747.88,6628.977142857143
A046,CANAL ST,09:17:57,2113185439.0,650100004.0,726.0,1919.0,2645.0
A043,CANAL ST,09:23:49,766878358.0,924748826.0,1530.0,3039.0,4569.0
A046,CANAL ST,09:23:54,2166718708.0,658905647.0,25.0,44.0,69.0
A046,CANAL ST,09:26:00,2166718733.0,658905691.0,2962.0,4792.0,7754.0
N089,CANAL ST,09:26:34,940385327.0,575686189.0,216.0,1109.0,1325.0
A046,CANAL ST,09:37:28,2113400704.0,650271038.0,2722.0,4057.0,6779.0
N090,CANAL ST,09:40:10,13492945.0,22518371.0,487.0,1163.0,1650.0
A046,CANAL ST,09:40:50,2118903155.0,653406214.0,3057.0,4433.0,7490.0
A046,CANAL ST,09:41:18,2113145703.0,650069700.0,509.0,1208.0,1717.0
N089,CANAL ST,09:41:27,938676021.0,573804450.0,713.0,1895.0,2608.0
A046,CANAL ST,09:42:35,2173661000.0,664645012.0,2941.0,4812.0,7753.0
A046,CANAL ST,09:43:57,2113126063.0,650054158.0,17.0,114.0,131.0
A046,CANAL ST,09:45:46,2113126080.0,650054272.0,2711.0,3943.0,6654.0
A043,CANAL ST,09:48:54,767051454.0,924892926.0,1339.0,2337.0,3676.0
A046,CANAL ST,09:52:16,2179702156.0,669589921.0,1753.0,2722.0,4475.0
A043,CANAL ST,10:07:08,767020755.0,924867141.0,493.0,1089.0,1582.0
N089,CANAL ST,10:10:46,940385543.0,575687298.0,556.0,1143.0,1699.0
A043,CANAL ST,10:22:11,766273155.0,924233296.0,27.0,101.0,128.0
A046,CANAL ST,10:26:49,2113146212.0,650070908.0,2242.0,2779.0,5021.0
A043,CANAL ST,10:26:59,766273182.0,924233397.0,655.0,1031.0,1686.0
A046,CANAL ST,10:28:13,2113186707.0,650101923.0,2394.0,2909.0,5303.0
