CA,STATION,TIME,ENTRIES,EXITS,DELTA_ENTRY,DELTA_EXIT,TOTAL_DELTA
A043,CANAL ST,00:00:00,768481048.5,926511098.6666666,366.72222222222223,157.5,524.2222222222222
N089,CANAL ST,00:00:00,939950426.671875,575376097.15625,360.859375,143.296875,504.15625
N090,CANAL ST,00:00:00,14454908.609375,20859787.703125,152.40625,57.6875,210.09375
R119,CANAL ST,00:00:00,15752432.944444444,5430482.222222222,87.0,18.5,105.5
R120,CANAL ST,00:00:00,2601799.411764706,11492781.88235294,21.0,42.35294117647059,63.35294117647059
A046,CANAL ST,00:00:00,2173636461.0,666012745.1111112,413.6111111111111,233.66666666666666,647.2777777777778
A066,CANAL ST,00:00:00,336278607.4444444,1458843173.2222223,188.88888888888889,77.94444444444444,266.8333333333333
A043,CANAL ST,01:00:00,768878077.6875,926970620.765625,221.09375,101.1875,322.28125
A046,CANAL ST,01:00:00,2170742665.09375,665162935.09375,267.984375,167.625,435.609375
A066,CANAL ST,01:00:00,278929871.09375,1461962023.640625,114.078125,48.421875,162.5
R120,CANAL ST,01:00:00,2581529.1967213117,11355542.852459017,11.245901639344263,30.37704918032787,41.622950819672134
R119,CANAL ST,01:00:00,16868661.51612903,5805169.048387097,67.45161290322581,17.887096774193548,85.33870967741936
N090,CANAL ST,03:00:00,13910910.266666668,19683675.0,38.0,68.06666666666666,106.06666666666666
N089,CANAL ST,03:00:00,939348763.3333334,574891851.6666666,100.06666666666666,119.33333333333333,219.4
A043,CANAL ST,04:00:00,768462229.0666667,926493771.2666667,110.06666666666666,312.8,422.8666666666667
A066,CANAL ST,04:00:00,1391203017.1333334,2535751158.3333335,59.4,168.93333333333334,228.33333333333334
R119,CANAL ST,04:00:00,14539322.4,5015434.0,35.4,23.0,58.4
A046,CANAL ST,04:00:00,2173570107.5333333,665907741.7333333,285.8,524.9333333333333,810.7333333333333
R120,CANAL ST,04:00:00,2600267.3571428573,11487360.42857143,10.142857142857142,73.71428571428571,83.85714285714286
N090,CANAL ST,04:00:00,14153663.686567165,20357125.3880597,52.91044776119403,125.17910447761194,178.08955223880596
N089,CANAL ST,04:00:00,939920175.7164179,575357095.4626865,144.37313432835822,246.955223880597,391.32835820895525
A066,CANAL ST,05:00:00,1462312102.1492538,2667348127.8656716,108.65671641791045,288.1641791044776,396.82089552238807
R120,CANAL ST,05:00:00,2666983.901639344,11733001.0,18.934426229508198,134.78688524590163,153.72131147540983
A043,CANAL ST,05:00:00,768627506.2089552,926731193.9402986,176.22388059701493,643.4029850746268,819.6268656716418
R119,CANAL ST,05:00:00,16708490.075757576,5745436.7272727275,65.9090909090909,45.45454545454545,111.36363636363636
